,event_name,DC Correction/,New Segment/,Response/Reaction,Stimulus/Frequent,Stimulus/Rare
219,Stimulus/Frequent,,,,0.0,
220,Stimulus/Frequent,,,,0.0,
221,Stimulus/Frequent,,,,0.0,
222,Stimulus/Frequent,,,,0.0,
223,Stimulus/Frequent,,,,0.0,
224,Stimulus/Rare,,,0.316,,0.0
225,Response/Reaction,,,0.0,,-0.316
226,Stimulus/Frequent,,,,0.0,
227,Stimulus/Frequent,,,,0.0,
228,Stimulus/Frequent,,,,0.0,
229,Stimulus/Frequent,,,,0.0,
230,Stimulus/Rare,,,0.312,,0.0
231,Response/Reaction,,,0.0,,-0.312
232,Stimulus/Frequent,,,,0.0,
233,Stimulus/Frequent,,,,0.0,
234,Stimulus/Rare,,,0.412,,0.0
235,Response/Reaction,,,0.0,0.984,-0.412
236,Stimulus/Frequent,,,,0.0,
237,Stimulus/Frequent,,,,0.0,
238,Stimulus/Frequent,,,,0.0,
239,Stimulus/Frequent,,,,0.0,
240,Stimulus/Frequent,,,,0.0,
241,Stimulus/Rare,,,0.276,,0.0
242,Response/Reaction,,,0.0,,-0.276
243,Stimulus/Frequent,,,,0.0,
244,Stimulus/Frequent,,,,0.0,
245,Stimulus/Frequent,,,,0.0,
246,Stimulus/Frequent,,,,0.0,
247,Stimulus/Rare,,,0.328,,0.0
248,Response/Reaction,,,0.0,,-0.328
249,Stimulus/Frequent,,,,0.0,
250,Stimulus/Frequent,,,,0.0,
251,Stimulus/Frequent,,,,0.0,
252,Stimulus/Rare,,,,,0.0
253,Stimulus/Frequent,,,,0.0,
254,Stimulus/Frequent,,,,0.0,
255,Stimulus/Frequent,,,,0.0,
256,Stimulus/Frequent,,,,0.0,
257,Stimulus/Frequent,,,,0.0,
258,Stimulus/Frequent,,,,0.0,
259,Stimulus/Rare,,,0.284,,0.0
260,Response/Reaction,,,0.0,,-0.284
261,Stimulus/Frequent,,,,0.0,
262,Stimulus/Frequent,,,,0.0,
263,Stimulus/Frequent,,,,0.0,
264,Stimulus/Rare,,,0.312,,0.0
265,Response/Reaction,,,0.0,,-0.312
266,Stimulus/Frequent,,,,0.0,
267,Stimulus/Frequent,,,,0.0,
268,Stimulus/Frequent,,,,0.0,
269,Stimulus/Frequent,,,,0.0,
270,Stimulus/Frequent,,,,0.0,
271,Stimulus/Rare,,,0.236,,0.0
272,Response/Reaction,,,0.0,,-0.236
273,Stimulus/Frequent,,,,0.0,
274,Stimulus/Frequent,,,,0.0,
275,Stimulus/Rare,,,0.308,,0.0
276,Response/Reaction,,,0.0,,-0.308
277,Stimulus/Frequent,,,,0.0,
278,Stimulus/Frequent,,,,0.0,
279,Stimulus/Frequent,,,,0.0,
280,Stimulus/Frequent,,,,0.0,
281,Stimulus/Rare,,,0.304,,0.0
282,Response/Reaction,,,0.0,,-0.304
283,Stimulus/Frequent,,,,0.0,
284,Stimulus/Frequent,,,,0.0,
285,Stimulus/Frequent,,,,0.0,
286,Stimulus/Frequent,,,,0.0,
287,Stimulus/Frequent,,,,0.0,
288,Stimulus/Rare,,,0.22,,0.0
289,Response/Reaction,,,0.0,,-0.22
