,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
544,stimulus/incompatible/target_right,,0.48046875,,,1.5,0.0,0.0,0.48046875,incompatible/target_right,right
546,stimulus/incompatible/target_left,,0.3564453125,,,0.0,,0.0,0.3564453125,incompatible/target_left,right
548,stimulus/incompatible/target_right,,0.2880859375,,,1.4326171875,0.0,0.0,0.2880859375,incompatible/target_right,right
550,stimulus/incompatible/target_left,0.4638671875,,,,0.0,,0.0,0.4638671875,incompatible/target_left,left
552,stimulus/incompatible/target_left,0.462890625,,,,0.0,,0.0,0.462890625,incompatible/target_left,left
554,stimulus/compatible/target_left,0.474609375,,0.0,,1.4658203125,,0.0,0.474609375,compatible/target_left,left
556,stimulus/incompatible/target_left,,0.3369140625,,,0.0,,0.0,0.3369140625,incompatible/target_left,right
558,stimulus/incompatible/target_left,,0.3134765625,,1.466796875,0.0,,0.0,0.3134765625,incompatible/target_left,right
560,stimulus/compatible/target_right,,0.3505859375,,0.0,,,0.0,0.3505859375,compatible/target_right,right
562,stimulus/incompatible/target_right,,0.4560546875,,,,0.0,0.0,0.4560546875,incompatible/target_right,right
564,stimulus/incompatible/target_left,0.43359375,,,,0.0,,0.0,0.43359375,incompatible/target_left,left
566,stimulus/incompatible/target_left,0.4736328125,,,,0.0,,0.0,0.4736328125,incompatible/target_left,left
568,stimulus/incompatible/target_left,0.4267578125,,,,0.0,1.4658203125,0.0,0.4267578125,incompatible/target_left,left
570,stimulus/incompatible/target_right,,0.45703125,,1.3994140625,,0.0,0.0,0.45703125,incompatible/target_right,right
572,stimulus/compatible/target_right,,0.41015625,,0.0,1.4833984375,,0.0,0.41015625,compatible/target_right,right
574,stimulus/incompatible/target_left,0.4384765625,,1.4658203125,,0.0,,0.0,0.4384765625,incompatible/target_left,left
576,stimulus/compatible/target_left,0.31640625,,0.0,,,,0.0,0.31640625,compatible/target_left,left
578,stimulus/compatible/target_left,0.34765625,,0.0,,,,0.0,0.34765625,compatible/target_left,left
580,stimulus/incompatible/target_right,0.3505859375,,,,,0.0,0.0,0.3505859375,incompatible/target_right,left
582,stimulus/compatible/target_right,,0.439453125,,0.0,,,0.0,0.439453125,compatible/target_right,right
584,stimulus/incompatible/target_left,0.5,,1.4326171875,,0.0,,0.0,0.5,incompatible/target_left,left
586,stimulus/compatible/target_left,0.53125,,0.0,,,,0.0,0.53125,compatible/target_left,left
588,stimulus/compatible/target_left,0.5263671875,,0.0,,,,0.0,0.5263671875,compatible/target_left,left
590,stimulus/compatible/target_left,0.3876953125,,0.0,,,,0.0,0.3876953125,compatible/target_left,left
592,stimulus/compatible/target_left,0.3564453125,,0.0,,,,0.0,0.3564453125,compatible/target_left,left
594,stimulus/incompatible/target_left,0.6708984375,,,1.482421875,0.0,,0.0,0.6708984375,incompatible/target_left,left
596,stimulus/compatible/target_right,,0.4931640625,,0.0,,,0.0,0.4931640625,compatible/target_right,right
598,stimulus/incompatible/target_right,,0.4091796875,1.4501953125,,,0.0,0.0,0.4091796875,incompatible/target_right,right
600,stimulus/compatible/target_left,0.3994140625,,0.0,,1.4990234375,,0.0,0.3994140625,compatible/target_left,left
